"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12193","testUserStory5()","","2026-05-13","passed","2026-05-13","","com.example.blackbattleship.selenide.UserStory5SelenideTest","com.example.blackbattleship.selenide.UserStory5SelenideTest","testUserStory5"
"","8464","testUserStory5()","","2026-05-13","passed","2026-05-13","","com.example.blackbattleship.UserStory5Test","com.example.blackbattleship.UserStory5Test","testUserStory5"
"","13416","testUserStory6()","","2026-05-13","passed","2026-05-13","","com.example.blackbattleship.UserStory6Test","com.example.blackbattleship.UserStory6Test","testUserStory6"
"","18732","testUserStory8()","","2026-05-13","passed","2026-05-13","","com.example.blackbattleship.selenide.UserStory8SelenideTest","com.example.blackbattleship.selenide.UserStory8SelenideTest","testUserStory8"
"","15479","testUserStory7()","","2026-05-13","passed","2026-05-13","","com.example.blackbattleship.selenide.UserStory7SelenideTest","com.example.blackbattleship.selenide.UserStory7SelenideTest","testUserStory7"
"","15794","testUserStory6()","","2026-05-13","passed","2026-05-13","","com.example.blackbattleship.selenide.UserStory6SelenideTest","com.example.blackbattleship.selenide.UserStory6SelenideTest","testUserStory6"
"","17466","testUserStory8()","","2026-05-13","passed","2026-05-13","","com.example.blackbattleship.UserStory8Test","com.example.blackbattleship.UserStory8Test","testUserStory8"
"","10999","testUserStory7()","","2026-05-13","passed","2026-05-13","","com.example.blackbattleship.UserStory7Test","com.example.blackbattleship.UserStory7Test","testUserStory7"
