"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6801","US2 - Aceder às regras/guias do jogo","","2026-05-13","passed","2026-05-13","","com.example.blackbattleship.UserStory2test","com.example.blackbattleship.UserStory2test","testAcederRegrasJogo"
"","12106","US4 - Gerar link para jogar com um amigo","","2026-05-13","passed","2026-05-13","","com.example.blackbattleship.UserStory4test","com.example.blackbattleship.UserStory4test","testGerarLinkParaAmigo"
"Verifica que um visitante consegue criar um nickname preenchendo o campo e clicando em Continue.","11864","US1 - Criar Nickname como utilizador convidado (Selenide)","","2026-05-13","passed","2026-05-13","","US01 — Testes de criação de nickname (Selenide)","com.example.blackbattleship.selenide.Userstory1_selenidetest","testCriarNickname"
"","11276","US3 - Jogar Batalha Naval contra um robot","","2026-05-13","passed","2026-05-13","","com.example.blackbattleship.UserStory3test","com.example.blackbattleship.UserStory3test","testJogarContraRobot"
"Verifica que o utilizador consegue gerar um link de convite para jogar com um amigo a partir da página do jogo.","13599","US4 - Gerar link para jogar com um amigo (Selenide)","","2026-05-13","passed","2026-05-13","","US04 — Testes de criação de link de convite (Selenide)","com.example.blackbattleship.selenide.Userstory4_selenidetest","testGerarLinkParaAmigo"
"Verifica que o utilizador consegue aceder à página de Game Guides a partir da página principal.","7306","US2 - Aceder às regras/guias do jogo (Selenide)","","2026-05-13","passed","2026-05-13","","US02 — Testes de acesso às regras do jogo (Selenide)","com.example.blackbattleship.selenide.Userstory2_selenidetest","testAcederRegrasJogo"
"Verifica que o utilizador consegue iniciar uma partida contra um robot a partir da página principal.","8727","US3 - Jogar Batalha Naval contra um robot (Selenide)","","2026-05-13","passed","2026-05-13","","US03 — Testes de jogo contra robot (Selenide)","com.example.blackbattleship.selenide.Userstory3_selenidetest","testJogarContraRobot"
"","9126","US1 - Criar Nickname como utilizador convidado","","2026-05-13","passed","2026-05-13","","com.example.blackbattleship.UserStory1test","com.example.blackbattleship.UserStory1test","testCriarNickname"
